2020-11-14 11:00:34,255 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,255 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,255 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,256 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,256 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,256 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,257 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,257 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,257 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,258 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,258 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,258 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,259 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,259 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,259 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,260 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,260 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,260 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,269 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,269 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,271 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,271 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,271 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,272 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,272 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,272 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,272 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,273 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,273 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,273 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,273 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,273 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,273 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,274 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,274 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,274 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,285 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,286 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,286 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,287 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,287 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,287 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,287 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,288 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,288 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,288 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,289 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,289 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,289 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,289 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,289 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,289 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,290 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,290 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,301 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,301 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,302 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,302 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,303 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,303 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,303 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,304 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,304 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,304 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,305 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,305 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,305 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,306 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,306 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,306 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,306 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,307 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,317 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,318 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,318 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,319 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,319 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,320 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,320 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,321 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,321 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,322 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,322 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,322 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,323 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,323 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,324 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,325 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,325 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,326 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,333 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,334 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,334 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,334 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,335 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,335 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,335 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,336 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,336 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,336 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,337 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,337 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,337 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,338 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,338 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,338 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,338 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,339 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,349 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,350 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,351 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,351 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,352 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,353 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,353 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,354 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,354 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,354 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,355 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,355 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,356 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,357 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,357 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,357 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,358 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,358 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,364 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,364 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,365 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,365 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,365 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,366 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,366 - ERROR - 4.1, generic error - database connection failed
