2020-11-14 10:56:10,246 - INFO - Inizio ricezione/elaborazione dati
2020-11-14 10:56:10,247 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,247 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,247 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,248 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,248 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,248 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,249 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,249 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,252 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,252 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,252 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,253 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,253 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,253 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,254 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,254 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,254 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,259 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,259 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,260 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,261 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,261 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,261 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,262 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,262 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,262 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,263 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,263 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,263 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,264 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,264 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,265 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,265 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,266 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,267 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,267 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,267 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,274 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,275 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,276 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,277 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,278 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,278 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,278 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,279 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,279 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,279 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,280 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,280 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,280 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,281 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,281 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,281 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,281 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,282 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,282 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,283 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,283 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,283 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,290 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,291 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,291 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,292 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,292 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,292 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,293 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,293 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,294 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,294 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,295 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,295 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,295 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,295 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,296 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,296 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,297 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,297 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,297 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,298 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,306 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,307 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,308 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,308 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,309 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,310 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,310 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,311 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,311 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,312 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,312 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,312 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,313 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,313 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,313 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,313 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,314 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,314 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,314 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,315 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,321 - ERROR - 4.1, generic error - database connection failed
2020-11-14 10:56:10,322 - ERROR - 4.1, generic error - database connection failed
